panel,predictor_value,ols_fitted,ci_low,ci_high,interval
a,-2.1454507857733662,0.0320552616028701,0.0084421778725292,0.055668345333211,95% analytic t CI for mean OLS guide
a,-2.127669572012253,0.0318016218179571,0.0083676192984694,0.0552356243374448,95% analytic t CI for mean OLS guide
a,-2.1098883582511396,0.031547982033044,0.0082929391831897,0.0548030248828984,95% analytic t CI for mean OLS guide
a,-2.0921071444900265,0.031294342248131,0.0082181346989753,0.0543705497972867,95% analytic t CI for mean OLS guide
a,-2.074325930728913,0.031040702463218,0.008143202931767,0.053938201994669,95% analytic t CI for mean OLS guide
a,-2.0565447169678,0.0307870626783049,0.0080681408779239,0.053505984478686,95% analytic t CI for mean OLS guide
a,-2.038763503206687,0.0305334228933919,0.0079929454408444,0.0530739003459393,95% analytic t CI for mean OLS guide
a,-2.0209822894455733,0.0302797831084788,0.0079176134274369,0.0526419527895208,95% analytic t CI for mean OLS guide
a,-2.0032010756844603,0.0300261433235658,0.0078421415444331,0.0522101451026986,95% analytic t CI for mean OLS guide
a,-1.985419861923347,0.0297725035386528,0.0077665263945367,0.0517784806827689,95% analytic t CI for mean OLS guide
a,-1.9676386481622337,0.0295188637537397,0.0076907644723984,0.0513469630350811,95% analytic t CI for mean OLS guide
a,-1.9498574344011204,0.0292652239688267,0.007614852160408,0.0509155957772454,95% analytic t CI for mean OLS guide
a,-1.932076220640007,0.0290115841839136,0.0075387857242953,0.050484382643532,95% analytic t CI for mean OLS guide
a,-1.914295006878894,0.0287579443990006,0.0074625613085289,0.0500533274894723,95% analytic t CI for mean OLS guide
a,-1.896513793117781,0.0285043046140876,0.0073861749315033,0.0496224342966718,95% analytic t CI for mean OLS guide
a,-1.8787325793566672,0.0282506648291745,0.0073096224805022,0.0491917071778468,95% analytic t CI for mean OLS guide
a,-1.860951365595554,0.0279970250442615,0.0072328997064278,0.0487611503820952,95% analytic t CI for mean OLS guide
a,-1.8431701518344408,0.0277433852593485,0.007156002218282,0.0483307683004149,95% analytic t CI for mean OLS guide
a,-1.8253889380733277,0.0274897454744354,0.0070789254773884,0.0479005654714824,95% analytic t CI for mean OLS guide
a,-1.8076077243122144,0.0272361056895224,0.0070016647913394,0.0474705465877053,95% analytic t CI for mean OLS guide
a,-1.789826510551101,0.0269824659046093,0.0069242153076554,0.0470407165015633,95% analytic t CI for mean OLS guide
a,-1.7720452967899878,0.0267288261196963,0.0068465720071393,0.0466110802322533,95% analytic t CI for mean OLS guide
a,-1.7542640830288745,0.0264751863347833,0.0067687296969115,0.046181642972655,95% analytic t CI for mean OLS guide
a,-1.7364828692677614,0.0262215465498702,0.0066906830031069,0.0457524100966335,95% analytic t CI for mean OLS guide
a,-1.718701655506648,0.0259679067649572,0.0066124263632157,0.0453233871666987,95% analytic t CI for mean OLS guide
a,-1.7009204417455348,0.0257142669800441,0.0065339540180498,0.0448945799420385,95% analytic t CI for mean OLS guide
a,-1.6831392279844215,0.0254606271951311,0.0064552600033129,0.0444659943869493,95% analytic t CI for mean OLS guide
a,-1.6653580142233082,0.0252069874102181,0.0063763381407538,0.0440376366796823,95% analytic t CI for mean OLS guide
a,-1.6475768004621951,0.024953347625305,0.0062971820288796,0.0436095132217305,95% analytic t CI for mean OLS guide
a,-1.6297955867010818,0.024699707840392,0.0062177850332038,0.0431816306475802,95% analytic t CI for mean OLS guide
a,-1.6120143729399683,0.0244460680554789,0.0061381402760054,0.0427539958349525,95% analytic t CI for mean OLS guide
a,-1.5942331591788554,0.0241924282705659,0.0060582406255701,0.0423266159155617,95% analytic t CI for mean OLS guide
a,-1.576451945417742,0.0239387884856529,0.0059780786848862,0.0418994982864195,95% analytic t CI for mean OLS guide
a,-1.5586707316566288,0.0236851487007398,0.0058976467797635,0.0414726506217161,95% analytic t CI for mean OLS guide
a,-1.5408895178955155,0.0234315089158268,0.0058169369463449,0.0410460808853086,95% analytic t CI for mean OLS guide
a,-1.5231083041344022,0.0231778691309137,0.0057359409179748,0.0406197973438527,95% analytic t CI for mean OLS guide
a,-1.5053270903732892,0.0229242293460007,0.0056546501113894,0.0401938085806121,95% analytic t CI for mean OLS guide
a,-1.4875458766121756,0.0226705895610877,0.0055730556121913,0.039768123509984,95% analytic t CI for mean OLS guide
a,-1.4697646628510626,0.0224169497761746,0.0054911481595673,0.039342751392782,95% analytic t CI for mean OLS guide
a,-1.4519834490899493,0.0221633099912616,0.005408918130207,0.0389177018523162,95% analytic t CI for mean OLS guide
a,-1.434202235328836,0.0219096702063486,0.0053263555213786,0.0384929848913185,95% analytic t CI for mean OLS guide
a,-1.4164210215677229,0.0216560304214355,0.0052434499331135,0.0380686109097575,95% analytic t CI for mean OLS guide
a,-1.3986398078066091,0.0214023906365225,0.00516019054945,0.037644590723595,95% analytic t CI for mean OLS guide
a,-1.3808585940454965,0.0211487508516094,0.0050765661186838,0.0372209355845351,95% analytic t CI for mean OLS guide
a,-1.363077380284383,0.0208951110666964,0.00499256493257,0.0367976572008228,95% analytic t CI for mean OLS guide
a,-1.3452961665232697,0.0206414712817834,0.0049081748044176,0.0363747677591491,95% analytic t CI for mean OLS guide
a,-1.3275149527621566,0.0203878314968703,0.0048233830460159,0.0359522799477247,95% analytic t CI for mean OLS guide
a,-1.309733739001043,0.0201341917119573,0.0047381764433283,0.0355302069805863,95% analytic t CI for mean OLS guide
a,-1.29195252523993,0.0198805519270442,0.0046525412308846,0.0351085626232039,95% analytic t CI for mean OLS guide
a,-1.274171311478817,0.0196269121421312,0.0045664630648032,0.0346873612194592,95% analytic t CI for mean OLS guide
a,-1.2563900977177034,0.0193732723572182,0.0044799269943668,0.0342666177200695,95% analytic t CI for mean OLS guide
a,-1.2386088839565903,0.0191196325723051,0.0043929174320749,0.0338463477125353,95% analytic t CI for mean OLS guide
a,-1.2208276701954768,0.0188659927873921,0.0043054181220932,0.033426567452691,95% analytic t CI for mean OLS guide
a,-1.2030464564343637,0.018612353002479,0.0042174121070135,0.0330072938979445,95% analytic t CI for mean OLS guide
a,-1.1852652426732504,0.018358713217566,0.00412888169284,0.032588544742292,95% analytic t CI for mean OLS guide
a,-1.167484028912137,0.018105073432653,0.0040398084121079,0.0321703384531981,95% analytic t CI for mean OLS guide
a,-1.149702815151024,0.0178514336477399,0.0039501729850449,0.031752694310435,95% analytic t CI for mean OLS guide
a,-1.1319216013899107,0.0175977938628269,0.003859955278677,0.0313356324469768,95% analytic t CI for mean OLS guide
a,-1.1141403876287974,0.0173441540779138,0.0037691342637823,0.0309191738920454,95% analytic t CI for mean OLS guide
a,-1.096359173867684,0.0170905142930008,0.0036776879695927,0.0305033406164089,95% analytic t CI for mean OLS guide
a,-1.0785779601065708,0.0168368745080878,0.0035855934361424,0.0300881555800332,95% analytic t CI for mean OLS guide
